nohup: no se tendrá en cuenta la entrada
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: jfphlorecti (scigeo). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.5
wandb: Run data is saved locally in /home/tidop/projects/Noisy-Student/wandb/run-20241105_101647-p4ighlt6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Student Training Alabama ResUNet
wandb: ⭐️ View project at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training
wandb: 🚀 View run at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training/runs/p4ighlt6
MSE Loss: 1.4485, Lovasz Loss: 1.0223, BCE Loss: 1.0351
MSE Loss: 1.5680, Lovasz Loss: 1.0375, BCE Loss: 1.0434
MSE Loss: 1.4602, Lovasz Loss: 1.0661, BCE Loss: 1.0705
MSE Loss: 1.4363, Lovasz Loss: 1.0218, BCE Loss: 1.0424
MSE Loss: 1.3241, Lovasz Loss: 1.0412, BCE Loss: 1.0326
MSE Loss: 1.1702, Lovasz Loss: 1.0999, BCE Loss: 1.0570
MSE Loss: 1.2982, Lovasz Loss: 1.0519, BCE Loss: 1.0460
MSE Loss: 1.4939, Lovasz Loss: 1.0244, BCE Loss: 1.0880
MSE Loss: 1.3194, Lovasz Loss: 1.0604, BCE Loss: 1.0635
MSE Loss: 1.4489, Lovasz Loss: 1.0479, BCE Loss: 1.0524
MSE Loss: 1.2097, Lovasz Loss: 1.0965, BCE Loss: 1.1024
MSE Loss: 1.4239, Lovasz Loss: 1.0835, BCE Loss: 1.0989
MSE Loss: 1.3141, Lovasz Loss: 1.0607, BCE Loss: 1.0463
MSE Loss: 1.3805, Lovasz Loss: 1.0411, BCE Loss: 1.0713
MSE Loss: 1.4125, Lovasz Loss: 1.0619, BCE Loss: 1.0646
MSE Loss: 1.3654, Lovasz Loss: 1.1620, BCE Loss: 1.0320
MSE Loss: 1.1898, Lovasz Loss: 1.0349, BCE Loss: 1.8025
MSE Loss: 1.3806, Lovasz Loss: 1.0663, BCE Loss: 1.0501
MSE Loss: 1.2954, Lovasz Loss: 1.0357, BCE Loss: 1.0973
MSE Loss: 1.3279, Lovasz Loss: 1.0471, BCE Loss: 1.1567
MSE Loss: 1.3290, Lovasz Loss: 1.0300, BCE Loss: 1.0507
MSE Loss: 1.3706, Lovasz Loss: 1.0334, BCE Loss: 1.0398
MSE Loss: 1.2194, Lovasz Loss: 1.0518, BCE Loss: 1.0943
MSE Loss: 1.3832, Lovasz Loss: 1.0438, BCE Loss: 1.0689
MSE Loss: 1.3232, Lovasz Loss: 1.0325, BCE Loss: 1.0492
MSE Loss: 1.3279, Lovasz Loss: 1.1675, BCE Loss: 1.1886
MSE Loss: 1.5554, Lovasz Loss: 1.0391, BCE Loss: 1.1279
MSE Loss: 1.7730, Lovasz Loss: 1.0351, BCE Loss: 1.0552
MSE Loss: 1.3661, Lovasz Loss: 1.0327, BCE Loss: 1.0637
MSE Loss: 1.2015, Lovasz Loss: 1.0526, BCE Loss: 1.2430
MSE Loss: 1.4493, Lovasz Loss: 1.0260, BCE Loss: 1.0261
MSE Loss: 1.3869, Lovasz Loss: 1.0385, BCE Loss: 1.0287
MSE Loss: 1.4791, Lovasz Loss: 1.0258, BCE Loss: 1.0402
MSE Loss: 1.6116, Lovasz Loss: 1.0355, BCE Loss: 1.0856
MSE Loss: 1.2741, Lovasz Loss: 1.1188, BCE Loss: 1.7258
MSE Loss: 1.1690, Lovasz Loss: 1.1086, BCE Loss: 1.2436
MSE Loss: 1.2527, Lovasz Loss: 1.0472, BCE Loss: 1.0444
MSE Loss: 1.2254, Lovasz Loss: 1.1649, BCE Loss: 1.1227
MSE Loss: 1.4514, Lovasz Loss: 1.0306, BCE Loss: 1.0787
MSE Loss: 1.1440, Lovasz Loss: 1.1023, BCE Loss: 1.3326
MSE Loss: 1.3356, Lovasz Loss: 1.0676, BCE Loss: 1.0505
MSE Loss: 1.7205, Lovasz Loss: 1.0330, BCE Loss: 1.0200
MSE Loss: 1.3302, Lovasz Loss: 1.0224, BCE Loss: 1.0798
MSE Loss: 1.2595, Lovasz Loss: 1.0722, BCE Loss: 1.0654
Epoch [1/20], CE + MSE Loss: 1.5411
Validation CE + MSE Loss: 0.7195 Validation IoU: 0.1916 Validation Dice: 0.3199 Validation Precision: 0.2484 Validation Recall: 0.4673 Validation F1: 0.3199
MSE Loss: 1.5444, Lovasz Loss: 1.0246, BCE Loss: 1.0260
MSE Loss: 1.5069, Lovasz Loss: 1.2799, BCE Loss: 1.1392
MSE Loss: 1.3319, Lovasz Loss: 1.0306, BCE Loss: 1.0918
MSE Loss: 1.3031, Lovasz Loss: 1.0536, BCE Loss: 1.0596
MSE Loss: 1.2108, Lovasz Loss: 1.0233, BCE Loss: 1.0347
MSE Loss: 1.3370, Lovasz Loss: 1.0202, BCE Loss: 1.0321
MSE Loss: 1.3587, Lovasz Loss: 1.0514, BCE Loss: 1.1207
MSE Loss: 1.3112, Lovasz Loss: 1.0278, BCE Loss: 1.0525
MSE Loss: 1.4104, Lovasz Loss: 1.0874, BCE Loss: 1.0510
MSE Loss: 1.2315, Lovasz Loss: 1.0220, BCE Loss: 1.0334
MSE Loss: 1.2384, Lovasz Loss: 1.0364, BCE Loss: 1.0241
MSE Loss: 1.2238, Lovasz Loss: 1.0273, BCE Loss: 1.0257
MSE Loss: 1.2542, Lovasz Loss: 1.0878, BCE Loss: 1.0760
MSE Loss: 1.3721, Lovasz Loss: 1.0220, BCE Loss: 1.1539
MSE Loss: 1.1979, Lovasz Loss: 1.0580, BCE Loss: 1.1591
MSE Loss: 1.1633, Lovasz Loss: 1.1235, BCE Loss: 1.0615
MSE Loss: 1.3347, Lovasz Loss: 1.0304, BCE Loss: 1.0601
MSE Loss: 1.4052, Lovasz Loss: 1.0209, BCE Loss: 1.0319
MSE Loss: 1.1526, Lovasz Loss: 1.0817, BCE Loss: 1.0795
MSE Loss: 1.1759, Lovasz Loss: 1.0193, BCE Loss: 1.0345
MSE Loss: 1.3104, Lovasz Loss: 1.1532, BCE Loss: 1.3961
MSE Loss: 1.4463, Lovasz Loss: 1.0585, BCE Loss: 1.1155
MSE Loss: 1.2551, Lovasz Loss: 1.0620, BCE Loss: 1.0332
MSE Loss: 1.1374, Lovasz Loss: 1.0225, BCE Loss: 1.0348
MSE Loss: 1.2300, Lovasz Loss: 1.0219, BCE Loss: 1.0498
MSE Loss: 1.3163, Lovasz Loss: 1.0271, BCE Loss: 1.0924
MSE Loss: 1.1242, Lovasz Loss: 1.0252, BCE Loss: 1.0287
MSE Loss: 1.2561, Lovasz Loss: 1.0963, BCE Loss: 1.0879
MSE Loss: 1.5060, Lovasz Loss: 1.0275, BCE Loss: 1.0445
MSE Loss: 1.3903, Lovasz Loss: 1.0233, BCE Loss: 1.0192
MSE Loss: 1.2321, Lovasz Loss: 1.1383, BCE Loss: 1.1332
MSE Loss: 1.4146, Lovasz Loss: 1.0264, BCE Loss: 1.0241
MSE Loss: 1.2851, Lovasz Loss: 1.0428, BCE Loss: 1.0464
MSE Loss: 1.1853, Lovasz Loss: 1.0261, BCE Loss: 1.0336
MSE Loss: 1.3016, Lovasz Loss: 1.3606, BCE Loss: 1.6154
MSE Loss: 1.2763, Lovasz Loss: 1.0274, BCE Loss: 1.0575
MSE Loss: 1.0926, Lovasz Loss: 1.2748, BCE Loss: 1.2314
MSE Loss: 1.1868, Lovasz Loss: 1.1229, BCE Loss: 1.1243
MSE Loss: 1.2260, Lovasz Loss: 1.0203, BCE Loss: 1.0294
MSE Loss: 1.2061, Lovasz Loss: 1.0180, BCE Loss: 1.0431
MSE Loss: 1.1759, Lovasz Loss: 1.0214, BCE Loss: 1.0281
MSE Loss: 1.1127, Lovasz Loss: 1.0348, BCE Loss: 1.1155
MSE Loss: 1.3105, Lovasz Loss: 1.0310, BCE Loss: 1.0749
MSE Loss: 1.5564, Lovasz Loss: 1.0170, BCE Loss: 1.0201
MSE Loss: 1.2690, Lovasz Loss: 1.0910, BCE Loss: 1.1060
MSE Loss: 1.3323, Lovasz Loss: 1.1277, BCE Loss: 1.0910
MSE Loss: 1.2588, Lovasz Loss: 1.0411, BCE Loss: 1.0506
MSE Loss: 1.1571, Lovasz Loss: 1.0914, BCE Loss: 1.0302
MSE Loss: 1.2297, Lovasz Loss: 1.0315, BCE Loss: 1.0521
MSE Loss: 1.1020, Lovasz Loss: 1.0271, BCE Loss: 1.0746
MSE Loss: 1.2017, Lovasz Loss: 1.0320, BCE Loss: 1.0624
